Year,World Energy intensity level of primary energy (MJ/$2011 PPP GDP)
1990,7.577797791
1991,7.545379135
1992,7.429066691
1993,7.377897167
1994,7.217940608
1995,7.180743081
1996,7.08994514
1997,6.879348436
1998,6.743682304
1999,6.647692343
2000,6.494214632
2001,6.415555429
2002,6.371928552
2003,6.364138452
2004,6.303723233
2005,6.186624766
2006,6.040561997
2007,5.885983283
2008,5.795933285
2009,5.779151948
2010,5.796332122
2011,5.663228053
2012,5.587260826
2013,5.487275044
2014,5.285002894
2015,5.131588888